,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1477915,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23
1477475,170221,Shake Shack,American,16.98,Weekend,Not given,22,21
1477932,58092,Shake Shack,American,8,Weekend,5,27,23
1476651,50616,Parm,Italian,13.05,Weekend,Not given,28,27
1477730,133202,Sushi Samba,Japanese,29.05,Weekend,5,31,16
1477518,277898,Haandi,Indian,5.67,Weekday,4,23,31
1477821,77341,The Meatball Shop,Italian,16.93,Weekend,Not given,30,25
1477104,97079,Benihana,Japanese,29.29,Weekend,5,20,18
1477921,150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29
1477938,87472,RedFarm Hudson,Chinese,22.75,Weekend,Not given,31,30
1476943,231061,Han Dynasty,Chinese,13.34,Weekend,4,34,27
1477581,56722,Shake Shack,American,9.75,Weekend,5,33,25
1477975,107909,Cafeteria,American,6.69,Weekday,4,21,32
1477601,133617,Shake Shack,American,4.75,Weekday,4,35,28
1477790,67538,Chipotle Mexican Grill $1.99 Delivery,Mexican,12.56,Weekend,5,22,18
1477385,129969,The Meatball Shop,Italian,21.2,Weekend,Not given,34,16
1478423,57174,Tortaria,Mexican,19.31,Weekend,Not given,27,28
1477051,78939,Nobu Next Door,Japanese,16.3,Weekday,3,20,24
1476796,309513,Otto Enoteca Pizzeria,Italian,13.05,Weekday,5,33,27
1478031,129798,TAO,Japanese,25.27,Weekday,4,24,24
1477740,184085,Hill Country Fried Chicken,Southern,14.79,Weekend,5,35,15
1478384,329710,Shake Shack,American,5.72,Weekday,3,31,24
1478183,65009,Chote Nawab,Indian,16.15,Weekend,5,24,30
1477569,154030,RedFarm Hudson,Chinese,33.03,Weekend,4,26,22
1478211,86731,Mission Cantina,Mexican,16.2,Weekend,5,31,18
1476635,306119,Xi'an Famous Foods,Chinese,9.22,Weekday,Not given,31,32
1477646,164016,Blue Ribbon Fried Chicken,American,16.39,Weekend,Not given,27,22
1477027,121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27
1476921,305522,Shake Shack,American,24.2,Weekday,4,29,29
1476689,68976,Sarabeth's East,American,17.03,Weekend,3,26,30
1477767,60703,Cafe Habana,Mexican,6.79,Weekday,Not given,33,25
1476582,80460,Rubirosa,Italian,21.83,Weekend,3,30,27
1478169,128600,Blue Ribbon Fried Chicken,American,31.29,Weekday,Not given,22,33
1477702,142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21
1477240,83287,Five Guys Burgers and Fries,American,24.3,Weekend,5,30,20
1476564,134152,The Meatball Shop,Italian,22.26,Weekend,Not given,28,25
1478408,345899,TAO,Japanese,20.47,Weekend,4,26,30
1477824,38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25
1477617,259341,Joe's Shanghai _Àü£¾÷´,Chinese,15.81,Weekend,5,20,26
1477978,309513,Otto Enoteca Pizzeria,Italian,22.36,Weekend,5,26,27
1477281,234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27
1478223,125123,Shake Shack,American,21.83,Weekend,Not given,23,22
1477364,365244,Bareburger,American,16.3,Weekday,Not given,20,28
1476715,63020,The Odeon,American,12.9,Weekday,3,31,28
1476654,222879,Parm,Italian,29.15,Weekday,5,23,27
1477296,275535,Pongsri Thai,Thai,13.05,Weekday,4,31,24
1478321,49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16
1477942,137565,Shake Shack,American,31.29,Weekday,Not given,26,32
1477552,65009,Blue Ribbon Fried Chicken,American,7.86,Weekday,4,22,33
1476770,214394,Yama Japanese Restaurant,Japanese,16.1,Weekend,Not given,33,27
1476558,91907,Momoya,Japanese,16.98,Weekday,5,31,32
1477993,82041,Osteria Morini,Italian,12.95,Weekend,5,26,28
1478072,59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24
1476935,50199,Five Guys Burgers and Fries,American,12.13,Weekend,Not given,26,15
1477255,325210,The Meatball Shop,American,12.32,Weekend,Not given,31,19
1477012,100999,Balthazar Boulangerie,French,12.13,Weekend,Not given,22,27
1477704,146588,Sushi of Gari,Japanese,12.18,Weekday,5,25,24
1477188,310051,Parm,Italian,14.99,Weekend,Not given,34,24
1478348,128243,The Meatball Shop,Italian,6.74,Weekend,5,26,30
1477405,53543,CafÌ© China,Chinese,24.3,Weekend,Not given,20,23
1476826,230535,Shake Shack,American,10.38,Weekend,3,24,29
1478340,127122,RedFarm Broadway,Chinese,6.79,Weekend,5,33,28
1477044,177250,RedFarm Hudson,Chinese,25.27,Weekend,Not given,34,28
1476978,111125,Otto Enoteca Pizzeria,Italian,14.99,Weekend,Not given,29,21
1477287,144997,RedFarm Hudson,Chinese,29.05,Weekend,4,22,28
1477110,97991,Blue Ribbon Sushi Bar & Grill,Japanese,9.65,Weekend,Not given,25,26
1476555,58533,The Meatball Shop,Italian,29.2,Weekend,Not given,31,24
1476862,104336,Nobu Next Door,Japanese,5.77,Weekday,4,29,24
1477117,232582,CafÌ© China,Chinese,32.93,Weekday,3,26,28
1478402,195927,Boqueria,Spanish,12.13,Weekend,5,30,20
1477431,373689,Bareburger,American,12.08,Weekend,Not given,29,20
1477836,370372,Blue Ribbon Fried Chicken,American,11.59,Weekday,Not given,25,24
1477376,264707,TAO,Japanese,9.56,Weekend,5,21,17
1476835,42385,Song Thai Restaurant & Bar,Thai,24.2,Weekend,5,21,26
1477177,104555,Sushi of Gari,Japanese,29.34,Weekday,Not given,32,25
1478174,250494,The Meatball Shop,Italian,11.16,Weekday,5,22,28
1478269,139085,Shake Shack,American,24.25,Weekday,Not given,32,24
1477369,198309,Blue Ribbon Sushi,Japanese,29.2,Weekend,Not given,22,25
1476969,399478,Shake Shack,American,14.07,Weekend,Not given,25,28
1477420,40010,Parm,Italian,19.35,Weekend,4,35,19
1476663,48131,RedFarm Hudson,Chinese,16.1,Weekend,4,23,29
1477904,41692,Shake Shack,American,22.8,Weekend,Not given,30,19
1478219,61305,Blue Ribbon Sushi Bar & Grill,Japanese,15.23,Weekend,Not given,30,19
1477206,123780,Five Guys Burgers and Fries,American,33.03,Weekend,Not given,29,25
1477337,385248,Shake Shack,American,12.95,Weekend,Not given,27,18
1476809,97806,Shake Shack,American,16.49,Weekend,5,32,22
1477750,97079,Benihana,Japanese,29.05,Weekend,Not given,25,26
1476817,52463,RedFarm Broadway,Chinese,31.33,Weekend,3,33,23
1476659,105068,TAO,Japanese,16.01,Weekend,Not given,26,16
1477609,128600,Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21
1477616,71791,Sushi of Gari 46,Japanese,8.83,Weekday,Not given,31,33
1476769,362068,The Kati Roll Company,Indian,33.03,Weekend,Not given,35,21
1477185,298824,Shake Shack,American,16.25,Weekday,3,30,24
1477752,94524,The Meatball Shop,Italian,22.36,Weekend,4,28,18
1477239,342107,The Kati Roll Company,Indian,16.83,Weekend,4,26,20
1476590,62359,Rubirosa,Italian,8,Weekday,4,27,29
1478305,347181,Blue Ribbon Sushi,Japanese,16.01,Weekend,Not given,29,22
1476751,60052,RedFarm Broadway,Chinese,16.01,Weekday,4,23,27
1477831,198936,Five Leaves,American,10.24,Weekday,Not given,22,25
1477955,348787,Otto Enoteca Pizzeria,Italian,19.4,Weekday,4,32,28
1476568,184325,Pinto Nouveau Thai Bistro,Thai,19.35,Weekend,4,34,24
1478391,42935,Barbounia,Mediterranean,13.97,Weekend,5,29,25
1476725,200672,Cafe Mogador,Middle Eastern,13,Weekend,Not given,21,15
1476688,75484,Five Guys Burgers and Fries,American,13.05,Weekend,Not given,34,27
1477102,378027,RedFarm Broadway,Chinese,8.49,Weekend,Not given,24,16
1476878,93133,Parm,Italian,22.8,Weekday,5,33,33
1476805,268958,Barbounia,Mediterranean,20.18,Weekend,5,29,19
1478093,370017,RedFarm Broadway,Chinese,19.59,Weekend,5,24,19
1478201,146586,Dirty Bird to Go,American,19.4,Weekend,4,25,19
1478032,350085,The Meatball Shop,Italian,17.03,Weekday,Not given,22,29
1476606,292343,Amy Ruth's,Southern,16.11,Weekend,4,30,26
1477570,84700,Pepe Giallo,Italian,14.6,Weekday,3,32,24
1476808,53212,TAO,Japanese,12.27,Weekday,Not given,26,29
1476610,373353,indikitch,Indian,22.26,Weekend,Not given,35,16
1476875,79255,The Meatball Shop,Italian,6.79,Weekend,Not given,26,15
1476829,275689,Han Dynasty,Chinese,14.12,Weekend,4,35,19
1477366,354719,The Meatball Shop,Italian,29.15,Weekend,5,34,20
1477774,17495,Prosperity Dumpling,Chinese,12.18,Weekday,Not given,26,24
1477209,352247,Chipotle Mexican Grill $1.99 Delivery,Mexican,25.22,Weekend,4,27,22
1478334,300670,Shake Shack,American,13.39,Weekend,Not given,30,22
1477872,87747,Blue Ribbon Fried Chicken,American,9.02,Weekend,5,31,15
1478417,326426,Sushi of Gari,Japanese,29.15,Weekend,Not given,34,24
1477401,131645,Yama 49,Japanese,13,Weekday,5,24,32
1477764,129518,Blue Ribbon Fried Chicken,American,15.33,Weekday,4,24,29
1477835,103005,Yama Japanese Restaurant,Japanese,14.55,Weekend,5,20,28
1476997,140477,Momoya,Japanese,31.43,Weekend,Not given,24,17
1477519,250494,Five Guys Burgers and Fries,American,33.03,Weekend,5,29,15
1477004,105164,Piccolo Angolo,Italian,15.91,Weekend,4,26,26
1477536,160957,Momoya,Japanese,12.18,Weekend,4,27,25
1478313,361509,Shake Shack,American,19.35,Weekday,Not given,35,33
1477290,169478,RedFarm Broadway,Chinese,19.35,Weekend,Not given,24,28
1476648,91192,Hill Country Fried Chicken,Southern,29.35,Weekend,4,26,24
1476657,134294,Shake Shack,American,15.28,Weekday,4,30,29
1478089,365225,Pepe Rosso To Go,Italian,12.23,Weekday,3,24,24
1478026,279895,Shake Shack,American,9.6,Weekday,4,35,28
1477768,81110,Han Dynasty,Chinese,12.95,Weekend,Not given,20,25
1477424,384391,Shake Shack,American,8.88,Weekend,5,27,23
1478378,328357,Shake Shack,American,15.96,Weekend,3,30,21
1477493,41318,Jack's Wife Freda,Mediterranean,15.47,Weekend,5,33,16
1478092,92832,Five Guys Burgers and Fries,American,12.23,Weekend,5,22,22
1477150,58871,Shake Shack,American,8.05,Weekday,4,25,27
1478157,231042,Momoya,Japanese,8.54,Weekday,4,28,29
1478343,336162,Nobu Next Door,Japanese,29.15,Weekday,5,28,25
1476860,76907,Han Dynasty,Chinese,7.23,Weekend,5,21,18
1477675,389740,L'Express,French,19.69,Weekend,3,26,17
1476799,41168,Parm,Italian,12.13,Weekend,3,34,22
1476598,59749,Bareburger,American,16.49,Weekday,Not given,31,27
1477277,86731,Mission Cantina,Mexican,12.08,Weekend,Not given,30,18
1476682,42832,5 Napkin Burger,American,9.27,Weekend,Not given,34,30
1477047,91005,Han Dynasty,Chinese,24.25,Weekend,5,33,26
1478173,128963,Han Dynasty,Chinese,5.67,Weekday,4,21,31
1477528,124085,Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,3,21,24
1478426,231061,Han Dynasty,Chinese,33.03,Weekday,Not given,33,31
1476696,105138,Han Dynasty,Chinese,8.97,Weekend,4,33,19
1478189,95164,Amma,Indian,8.88,Weekday,4,27,24
1477532,263426,Blue Ribbon Sushi Izakaya,Japanese,12.13,Weekday,5,30,29
1477324,142461,Delicatessen,American,11.64,Weekend,Not given,27,27
1476698,263199,Sushi of Gari 46,Japanese,31.43,Weekend,4,35,23
1478290,387227,Blue Ribbon Sushi Bar & Grill,Japanese,13.15,Weekend,5,30,30
1476919,385559,Blue Ribbon Fried Chicken,American,14.02,Weekend,5,20,28
1477247,127149,Sarabeth's East,American,9.41,Weekend,Not given,25,16
1477794,200074,Osteria Morini,Italian,9.07,Weekend,Not given,33,16
1477048,136876,Rubirosa,Italian,14.07,Weekend,5,35,16
1477615,103884,S'MAC,American,14.46,Weekend,Not given,34,17
1476566,38612,Vanessa's Dumplings,Chinese,6.7,Weekend,5,20,17
1477310,334619,Blue Ribbon Sushi Izakaya,Japanese,14.07,Weekday,4,24,26
1477758,92996,Tamarind TriBeCa,Indian,19.45,Weekend,4,29,19
1477765,195723,Cafe Habana,Mexican,13.97,Weekday,3,34,28
1476753,268958,Sushi of Gari 46,Japanese,12.22,Weekend,4,24,20
1476759,111356,Bhatti Indian Grill,Indian,29.25,Weekend,5,21,15
1477333,361509,Cafeteria,American,17.03,Weekend,Not given,34,20
1476830,367591,Taro Sushi,Japanese,16.05,Weekday,5,35,32
1478227,103005,Yama Japanese Restaurant,Japanese,17.08,Weekend,5,28,15
1476789,399121,Blue Ribbon Sushi,Japanese,11.3,Weekday,Not given,24,24
1477603,260680,Delicatessen,American,32.98,Weekend,5,34,16
1478246,124838,Hill Country Fried Chicken,Southern,29.15,Weekend,5,33,25
1476931,295111,The Meatball Shop,Italian,13,Weekday,5,23,26
1477029,42052,Pepe Rosso To Go,Italian,13.73,Weekend,Not given,21,28
1476849,52832,Han Dynasty,Chinese,12.23,Weekend,3,33,27
1478179,120833,Bareburger,American,16.25,Weekend,Not given,29,15
1477679,94483,Bistango,Italian,24.2,Weekend,Not given,28,21
1477810,49631,The Meatball Shop,Italian,14.31,Weekend,Not given,23,17
1477342,114085,Blue Ribbon Sushi Bar & Grill,Japanese,19.4,Weekend,Not given,28,20
1478133,251607,Shake Shack,American,14.12,Weekday,Not given,31,28
1477756,72339,Donburi-ya,Japanese,14.7,Weekend,Not given,30,27
1477721,229946,Balthazar Boulangerie,French,15.52,Weekend,Not given,21,29
1476952,92726,Hatsuhana,Japanese,8.97,Weekend,4,25,26
1477587,320493,Vanessa's Dumplings,Chinese,29.2,Weekday,Not given,27,30
1478210,69348,RedFarm Broadway,Chinese,11.64,Weekend,3,26,21
1477887,270149,Samurai Mama,Japanese,11.64,Weekend,5,21,18
1478366,354016,Waverly Diner,American,19.4,Weekend,5,25,23
1478279,104548,Tarallucci e Vino Restaurant,Italian,29.1,Weekday,Not given,28,33
1476819,105754,Momoya,Japanese,14.02,Weekday,4,24,30
1477394,157578,P.J. Clarke's,American,6.11,Weekend,4,27,25
1476667,350373,Blue Ribbon Fried Chicken,American,12.23,Weekend,4,21,26
1476975,47440,Blue Ribbon Fried Chicken,American,12.18,Weekend,Not given,31,23
1477909,85633,The Meatball Shop,Italian,24.2,Weekend,5,24,24
1476579,110091,The Meatball Shop,Italian,12.18,Weekend,Not given,27,17
1477286,95164,Amma,Indian,17.03,Weekend,Not given,28,19
1478436,96877,The Meatball Shop,Italian,22.26,Weekday,4,30,26
1476685,261400,The Meatball Shop,Italian,19.45,Weekday,5,31,32
1477912,177078,Lantern Thai Kitchen,Thai,21.93,Weekday,Not given,22,25
1476892,68429,Shake Shack,American,15.76,Weekend,5,24,22
1476882,52832,ilili Restaurant,Middle Eastern,9.46,Weekday,4,25,25
1477314,373633,Yama 49,Japanese,12.61,Weekday,5,23,28
1477712,390490,Blue Ribbon Brooklyn,American,22.85,Weekend,3,23,19
1477057,72639,P.J. Clarke's,American,12.18,Weekend,3,22,28
1477926,95644,RedFarm Broadway,Chinese,12.61,Weekday,Not given,26,27
1477273,129597,Otto Enoteca Pizzeria,Italian,12.13,Weekend,5,33,21
1478003,101084,RedFarm Hudson,Chinese,12.13,Weekend,Not given,20,22
1477522,46859,The Meatball Shop,Italian,8.54,Weekday,5,24,29
1476947,117810,Momoya,Japanese,19.35,Weekday,Not given,29,24
1478295,49034,The Smile,American,12.18,Weekend,Not given,22,27
1476551,82041,Parm,Italian,22.8,Weekend,Not given,35,20
1476846,142461,Shake Shack,American,12.13,Weekend,4,32,15
1476974,97991,Blue Ribbon Sushi Bar & Grill,Japanese,19.45,Weekday,5,34,27
1478005,113972,RedFarm Hudson,Chinese,12.13,Weekend,3,31,25
1476653,114085,Blue Ribbon Sushi Bar & Grill,Japanese,12.18,Weekend,Not given,24,18
1476563,231042,Momoya,Japanese,12.13,Weekend,5,22,21
1478440,298824,Bareburger,American,12.56,Weekend,Not given,24,26
1477348,52360,TAO,Japanese,24.3,Weekend,Not given,24,22
1477525,83504,Balthazar Boulangerie,French,29.15,Weekday,4,31,28
1477920,194778,Shake Shack,American,16.06,Weekend,5,30,17
1477797,105992,RedFarm Broadway,Chinese,24.3,Weekend,5,27,29
1477640,373486,Chipotle Mexican Grill $1.99 Delivery,Mexican,9.6,Weekend,3,23,26
1477091,49631,The Meatball Shop,Italian,19.4,Weekend,Not given,28,17
1477010,250494,Blue Ribbon Fried Chicken,American,29.1,Weekend,4,21,22
1478324,378923,Vanessa's Dumpling House,Chinese,12.18,Weekend,Not given,27,18
1477908,58898,RedFarm Broadway,Chinese,21.39,Weekend,5,23,24
1477573,250494,Bubby's ,American,24.25,Weekend,Not given,34,28
1476728,144997,RedFarm Hudson,Chinese,32.93,Weekend,Not given,33,30
1477815,75115,RedFarm Hudson,Chinese,14.07,Weekday,Not given,20,32
1477283,59674,Woorijip,Korean,8.25,Weekend,3,26,26
1476856,115238,The Smile,American,19.4,Weekday,5,26,27
1477265,368663,Shake Shack,American,12.18,Weekend,4,23,28
1477723,128353,The Meatball Shop,Italian,14.94,Weekend,5,32,25
1478020,355713,RedFarm Broadway,Chinese,14.26,Weekend,Not given,28,24
1477729,269793,Dirty Bird To Go (archived),American,8.54,Weekend,Not given,32,30
1477312,100778,The Meatball Shop,Italian,12.18,Weekend,Not given,25,28
1476577,60052,Rubirosa,Italian,29.1,Weekend,5,30,28
1477032,47280,Rubirosa,Italian,12.56,Weekend,4,31,17
1478221,183520,Blue Ribbon Sushi,Japanese,9.17,Weekend,3,25,28
1477747,391860,Lucky's Famous Burgers,American,16.2,Weekend,5,32,27
1477389,334373,Five Guys Burgers and Fries,American,14.12,Weekday,5,23,32
1477983,370405,Haveli Indian Restaurant,Indian,5.72,Weekend,3,24,26
1477642,64153,Blue Ribbon Fried Chicken,American,21.34,Weekend,Not given,35,23
1478229,314480,Shake Shack,American,6.79,Weekend,Not given,20,25
1477270,232035,Blue Ribbon Fried Chicken,American,12.18,Weekend,4,22,29
1477301,80434,Bareburger,American,12.18,Weekend,Not given,33,18
1476821,81166,Dos Caminos,Mexican,6.11,Weekend,5,26,21
1476979,91397,Chipotle Mexican Grill $1.99 Delivery,Mexican,14.16,Weekday,Not given,22,24
1477762,237592,Shake Shack,American,5.68,Weekend,Not given,31,30
1476906,91879,da Umberto,Italian,12.27,Weekday,5,20,30
1476867,22405,The Meatball Shop,Italian,20.18,Weekend,4,32,26
1477834,290693,Shake Shack,American,14.02,Weekend,5,26,21
1477577,64658,Blue Ribbon Sushi Bar & Grill,Japanese,16.2,Weekday,5,27,27
1477492,365401,Dirty Bird To Go (archived),American,15.57,Weekend,Not given,30,24
1476848,301032,Mission Cantina,Mexican,14.45,Weekend,Not given,27,29
1477870,100536,Shake Shack,American,8.15,Weekend,Not given,26,17
1477714,232359,The Meatball Shop,American,29.25,Weekend,3,21,19
1478075,181782,Parm,Italian,8.78,Weekend,3,23,26
1477677,146588,Sushi of Gari,Japanese,15.96,Weekend,5,23,22
1476589,360844,Tamarind TriBeCa,Indian,8.59,Weekday,5,32,31
1477828,353606,P.J. Clarke's,American,15.62,Weekday,5,27,32
1477680,109221,Tortaria,Mexican,13,Weekday,5,21,24
1477468,78318,RedFarm Hudson,Chinese,12.23,Weekend,4,24,19
1476619,152786,Cafe Habana,Mexican,25.22,Weekday,Not given,32,28
1476702,118776,Blue Ribbon Sushi Bar & Grill,Japanese,5.87,Weekend,4,31,20
1478081,81110,Hill Country Fried Chicken,Southern,24.2,Weekend,4,25,15
1477598,104336,Shake Shack,American,19.45,Weekday,4,28,24
1477624,92806,Shake Shack,American,12.18,Weekend,Not given,29,22
1476773,130521,Lucky's Famous Burgers,American,6.01,Weekend,Not given,33,16
1478299,52031,Han Dynasty,Chinese,21.93,Weekend,Not given,24,20
1477326,304708,Parm,Italian,5.92,Weekend,3,21,25
1478152,74925,Cafe Mogador,Middle Eastern,24.2,Weekend,4,32,22
1478396,104130,Blue Ribbon Sushi,Japanese,15.76,Weekend,Not given,30,26
1477537,133202,Sushi Samba,Japanese,6.11,Weekend,5,30,27
1478372,150865,Vanessa's Dumpling House,Chinese,5.72,Weekend,Not given,20,21
1478338,331608,Shake Shack,American,19.4,Weekend,Not given,30,18
1477025,363561,Shake Shack,American,8.49,Weekday,Not given,33,32
1477158,235620,Shake Shack,American,32.93,Weekend,Not given,32,25
1477375,118975,Shake Shack,American,12.23,Weekend,Not given,20,27
1478316,128224,Osteria Morini,Italian,9.17,Weekend,Not given,25,22
1476553,109419,The Meatball Shop,Italian,11.69,Weekend,Not given,30,21
1478330,63417,Pepe Rosso To Go,Italian,24.2,Weekend,3,27,19
1476999,55334,Sushi of Gari Tribeca,Japanese,9.85,Weekend,Not given,26,17
1476569,301618,Vanessa's Dumplings,Chinese,25.22,Weekday,Not given,32,24
1477040,47386,Bubby's ,American,22.75,Weekend,5,32,16
1476599,122609,Blue Ribbon Sushi,Japanese,6.84,Weekend,4,20,30
1476548,391746,Blue Ribbon Sushi,Japanese,24.3,Weekend,4,35,18
1477099,62027,Momoya,Japanese,19.35,Weekend,4,27,28
1477508,237616,Shake Shack,American,12.13,Weekday,3,22,27
1478067,103526,Burger Joint,American,9.02,Weekday,5,24,29
1476946,68965,RedFarm Hudson,Chinese,12.18,Weekend,Not given,20,18
1477339,232035,ilili Restaurant,Middle Eastern,9.17,Weekend,Not given,26,19
1477490,62359,Pylos,Mediterranean,19.4,Weekend,Not given,28,29
1477135,403833,Room Service,Thai,6.69,Weekday,Not given,25,32
1477931,61588,Blue Ribbon Sushi,Japanese,5.82,Weekend,Not given,34,27
1477822,91907,Sarabeth's Restaurant,American,12.08,Weekend,Not given,28,26
1477360,376578,Shake Shack,American,15.76,Weekend,5,32,24
1477163,212469,Blue Ribbon Fried Chicken,American,33.03,Weekend,5,34,24
1476732,104563,Blue Ribbon Sushi,Japanese,24.25,Weekend,4,24,23
1477987,235818,Shake Shack,American,12.13,Weekend,Not given,30,19
1478315,127149,Sarabeth's East,American,5.72,Weekend,Not given,33,26
1476941,399520,Xe May Sandwich Shop,Vietnamese,7.96,Weekend,5,25,29
1477014,142773,Hibino,Japanese,14.02,Weekend,4,28,15
1476640,318874,The Kati Roll Company,Indian,14.07,Weekend,5,33,17
1478272,355592,CafÌ© China,Chinese,21.83,Weekend,4,32,15
1477026,197265,Hill Country Fried Chicken,Southern,29.15,Weekend,Not given,20,17
1476897,149508,Shake Shack,American,22.26,Weekend,4,32,17
